recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,rushing_yards,rushing_tds
ARI,2022,433,664,3966.0,17,17.0,46.0,1873.0,15
ARI,2023,355,555,3430.0,18,12.0,42.0,2365.0,17
ARI,2024,374,543,3859.0,21,11.0,30.0,2451.0,18
ATL,2022,257,415,2927.0,17,9.0,37.0,2718.0,17
ATL,2023,327,530,3775.0,17,17.0,40.0,2159.0,14
ATL,2024,364,559,4283.0,21,19.0,32.0,2219.0,18
BAL,2022,317,517,3428.0,21,14.0,40.0,2875.0,14
BAL,2023,364,553,4305.0,30,8.0,48.0,2971.0,28
BAL,2024,352,523,4618.0,45,5.0,27.0,3664.0,24
BUF,2022,409,655,4907.0,38,17.0,41.0,2403.0,17
BUF,2023,432,648,4695.0,33,18.0,26.0,2573.0,25
BUF,2024,387,602,4574.0,34,6.0,19.0,2734.0,38
CAR,2022,267,457,3246.0,16,13.0,36.0,2210.0,16
CAR,2023,350,586,3245.0,13,10.0,65.0,1769.0,7
CAR,2024,341,547,3411.0,22,15.0,36.0,1878.0,18
CHI,2022,223,377,2598.0,19,15.0,58.0,3014.0,18
CHI,2023,321,513,3421.0,19,15.0,50.0,2399.0,16
CHI,2024,353,566,3552.0,20,7.0,68.0,1734.0,13
CIN,2022,490,719,5241.0,39,14.0,54.0,1822.0,17
CIN,2023,420,615,4257.0,27,14.0,50.0,1527.0,12
CIN,2024,460,652,4918.0,43,9.0,48.0,1574.0,11
CLE,2022,335,540,3710.0,19,12.0,44.0,2490.0,19
CLE,2023,389,670,4318.0,25,25.0,49.0,2073.0,16
CLE,2024,395,661,3879.0,19,23.0,66.0,1608.0,8
DAL,2022,403,626,4422.0,33,20.0,29.0,2502.0,25
DAL,2023,469,674,5063.0,39,12.0,44.0,2043.0,15
DAL,2024,398,637,4092.0,23,14.0,38.0,1705.0,6
DEN,2022,345,571,4007.0,18,15.0,63.0,1935.0,11
DEN,2023,337,513,3566.0,28,9.0,52.0,1810.0,8
DEN,2024,393,593,3967.0,31,12.0,26.0,1987.0,12
DET,2022,383,588,4444.0,29,7.0,24.0,2179.0,23
DET,2023,485,717,5443.0,34,12.0,38.0,2686.0,34
DET,2024,424,594,5054.0,40,16.0,35.0,2689.0,32
GB,2022,364,563,3890.0,27,12.0,32.0,2113.0,12
GB,2023,411,636,4676.0,37,13.0,30.0,2184.0,13
GB,2024,328,512,4151.0,28,14.0,24.0,2603.0,24
HOU,2022,352,579,3642.0,20,19.0,38.0,1476.0,7
HOU,2023,408,647,5033.0,30,8.0,47.0,1751.0,11
HOU,2024,398,631,4479.0,21,13.0,65.0,2226.0,17
IND,2022,398,604,3855.0,17,20.0,60.0,1866.0,8
IND,2023,355,574,3882.0,18,10.0,41.0,2059.0,19
IND,2024,289,513,3599.0,20,19.0,32.0,2318.0,20
JAX,2022,446,682,4653.0,30,14.0,32.0,2377.0,17
JAX,2023,412,620,4377.0,22,14.0,41.0,1646.0,17
JAX,2024,343,546,3717.0,19,15.0,32.0,1729.0,13
KC,2022,512,758,5976.0,49,12.0,29.0,2314.0,19
KC,2023,525,784,5434.0,34,18.0,33.0,2296.0,12
KC,2024,459,683,4725.0,31,13.0,52.0,2024.0,19
LA,2022,347,531,3506.0,16,15.0,59.0,1661.0,15
LA,2023,386,619,4667.0,28,13.0,36.0,2113.0,18
LA,2024,412,630,4629.0,26,9.0,38.0,1966.0,15
LAC,2022,510,754,5064.0,27,10.0,42.0,1591.0,17
LAC,2023,409,632,4312.0,24,8.0,43.0,1642.0,11
LAC,2024,350,542,4143.0,24,7.0,48.0,1932.0,17
LV,2022,359,586,4182.0,28,17.0,35.0,2057.0,12
LV,2023,348,557,3666.0,20,18.0,40.0,1542.0,11
LV,2024,410,635,4117.0,19,16.0,50.0,1357.0,10
MIA,2022,386,629,4985.0,31,17.0,39.0,1728.0,13
MIA,2023,413,605,4897.0,31,16.0,33.0,2384.0,27
MIA,2024,413,591,4036.0,22,10.0,43.0,1795.0,12
MIN,2022,480,712,5089.0,32,15.0,47.0,1722.0,19
MIN,2023,424,631,4700.0,30,19.0,47.0,1553.0,7
MIN,2024,389,588,4624.0,36,13.0,58.0,1961.0,9
NE,2022,358,540,3815.0,19,14.0,41.0,1832.0,12
NE,2023,351,557,3392.0,16,21.0,48.0,1627.0,9
NE,2024,342,529,3343.0,18,11.0,52.0,1969.0,11
NO,2022,338,512,3969.0,24,14.0,38.0,1982.0,12
NO,2023,406,606,4225.0,28,11.0,35.0,1742.0,13
NO,2024,340,551,3730.0,21,12.0,37.0,1954.0,15
NYG,2022,385,582,3867.0,19,7.0,57.0,2779.0,24
NYG,2023,338,518,3351.0,15,12.0,85.0,1874.0,10
NYG,2024,366,591,3521.0,15,13.0,48.0,1783.0,13
NYJ,2022,357,627,4040.0,15,14.0,42.0,1686.0,13
NYJ,2023,356,601,3373.0,11,15.0,64.0,1647.0,7
NYJ,2024,385,607,4016.0,31,11.0,40.0,1561.0,8
PHI,2022,408,623,4943.0,28,9.0,48.0,3040.0,42
PHI,2023,394,598,4317.0,25,16.0,42.0,2232.0,22
PHI,2024,368,540,4243.0,29,7.0,58.0,3866.0,40
PIT,2022,364,571,3661.0,12,14.0,38.0,2073.0,16
PIT,2023,345,545,3650.0,15,10.0,37.0,2116.0,16
PIT,2024,341,529,3877.0,23,6.0,53.0,2195.0,14
SEA,2022,424,608,4535.0,32,13.0,49.0,2146.0,13
SEA,2023,371,575,4167.0,23,12.0,38.0,1580.0,11
SEA,2024,413,593,4379.0,21,16.0,54.0,1627.0,17
SF,2022,386,589,4692.0,33,9.0,37.0,2735.0,23
SF,2023,403,600,5372.0,37,13.0,38.0,2765.0,32
SF,2024,349,533,4424.0,23,16.0,36.0,2163.0,17
TB,2022,534,817,5097.0,28,11.0,24.0,1360.0,5
TB,2023,412,645,4730.0,34,12.0,48.0,1717.0,8
TB,2024,423,589,4690.0,43,16.0,41.0,2637.0,16
TEN,2022,285,456,3227.0,17,11.0,49.0,2131.0,16
TEN,2023,304,494,3512.0,14,11.0,64.0,1846.0,16
TEN,2024,336,530,3621.0,22,21.0,52.0,1855.0,11
WAS,2022,344,554,3783.0,24,16.0,48.0,2143.0,9
WAS,2023,407,636,4174.0,24,21.0,65.0,1592.0,14
WAS,2024,441,640,4777.0,34,10.0,54.0,2982.0,29
