season,week,gameday,weekday,gametime,home_team,away_team,location
2010,1,2010-09-09,Thursday,20:30,NO,MIN,Home
2010,1,2010-09-12,Sunday,13:00,BUF,MIA,Home
2010,1,2010-09-12,Sunday,13:00,CHI,DET,Home
2010,1,2010-09-12,Sunday,13:00,HOU,IND,Home
2010,1,2010-09-12,Sunday,13:00,JAX,DEN,Home
2010,1,2010-09-12,Sunday,13:00,NE,CIN,Home
2010,1,2010-09-12,Sunday,13:00,NYG,CAR,Home
2010,1,2010-09-12,Sunday,13:00,PIT,ATL,Home
2010,1,2010-09-12,Sunday,13:00,TB,CLE,Home
2010,1,2010-09-12,Sunday,13:00,TEN,OAK,Home
2010,1,2010-09-12,Sunday,16:15,PHI,GB,Home
2010,1,2010-09-12,Sunday,16:15,SEA,SF,Home
2010,1,2010-09-12,Sunday,16:15,STL,ARI,Home
2010,1,2010-09-12,Sunday,20:20,WAS,DAL,Home
2010,1,2010-09-13,Monday,19:00,NYJ,BAL,Home
2010,1,2010-09-13,Monday,22:15,KC,SD,Home
2010,2,2010-09-19,Sunday,13:00,ATL,ARI,Home
2010,2,2010-09-19,Sunday,13:00,CAR,TB,Home
2010,2,2010-09-19,Sunday,13:00,CIN,BAL,Home
2010,2,2010-09-19,Sunday,13:00,CLE,KC,Home
2010,2,2010-09-19,Sunday,13:00,DAL,CHI,Home
2010,2,2010-09-19,Sunday,13:00,DET,PHI,Home
2010,2,2010-09-19,Sunday,13:00,GB,BUF,Home
2010,2,2010-09-19,Sunday,13:00,MIN,MIA,Home
2010,2,2010-09-19,Sunday,13:00,TEN,PIT,Home
2010,2,2010-09-19,Sunday,16:05,DEN,SEA,Home
2010,2,2010-09-19,Sunday,16:05,OAK,STL,Home
2010,2,2010-09-19,Sunday,16:15,NYJ,NE,Home
2010,2,2010-09-19,Sunday,16:15,SD,JAX,Home
2010,2,2010-09-19,Sunday,16:15,WAS,HOU,Home
2010,2,2010-09-19,Sunday,20:20,IND,NYG,Home
2010,2,2010-09-20,Monday,20:30,SF,NO,Home
2010,3,2010-09-26,Sunday,13:00,BAL,CLE,Home
2010,3,2010-09-26,Sunday,13:00,CAR,CIN,Home
2010,3,2010-09-26,Sunday,13:00,HOU,DAL,Home
2010,3,2010-09-26,Sunday,13:00,KC,SF,Home
2010,3,2010-09-26,Sunday,13:00,MIN,DET,Home
2010,3,2010-09-26,Sunday,13:00,NE,BUF,Home
2010,3,2010-09-26,Sunday,13:00,NO,ATL,Home
2010,3,2010-09-26,Sunday,13:00,NYG,TEN,Home
2010,3,2010-09-26,Sunday,13:00,TB,PIT,Home
2010,3,2010-09-26,Sunday,16:05,JAX,PHI,Home
2010,3,2010-09-26,Sunday,16:05,STL,WAS,Home
2010,3,2010-09-26,Sunday,16:15,ARI,OAK,Home
2010,3,2010-09-26,Sunday,16:15,DEN,IND,Home
2010,3,2010-09-26,Sunday,16:15,SEA,SD,Home
2010,3,2010-09-26,Sunday,20:20,MIA,NYJ,Home
2010,3,2010-09-27,Monday,20:30,CHI,GB,Home
2010,4,2010-10-03,Sunday,13:00,ATL,SF,Home
2010,4,2010-10-03,Sunday,13:00,BUF,NYJ,Home
2010,4,2010-10-03,Sunday,13:00,CLE,CIN,Home
2010,4,2010-10-03,Sunday,13:00,GB,DET,Home
2010,4,2010-10-03,Sunday,13:00,NO,CAR,Home
2010,4,2010-10-03,Sunday,13:00,PIT,BAL,Home
2010,4,2010-10-03,Sunday,13:00,STL,SEA,Home
2010,4,2010-10-03,Sunday,13:00,TEN,DEN,Home
2010,4,2010-10-03,Sunday,16:05,JAX,IND,Home
2010,4,2010-10-03,Sunday,16:05,OAK,HOU,Home
2010,4,2010-10-03,Sunday,16:15,PHI,WAS,Home
2010,4,2010-10-03,Sunday,16:15,SD,ARI,Home
2010,4,2010-10-03,Sunday,20:20,NYG,CHI,Home
2010,4,2010-10-04,Monday,20:30,MIA,NE,Home
2010,5,2010-10-10,Sunday,13:00,BAL,DEN,Home
2010,5,2010-10-10,Sunday,13:00,BUF,JAX,Home
2010,5,2010-10-10,Sunday,13:00,CAR,CHI,Home
2010,5,2010-10-10,Sunday,13:00,CIN,TB,Home
2010,5,2010-10-10,Sunday,13:00,CLE,ATL,Home
2010,5,2010-10-10,Sunday,13:00,DET,STL,Home
2010,5,2010-10-10,Sunday,13:00,HOU,NYG,Home
2010,5,2010-10-10,Sunday,13:00,IND,KC,Home
2010,5,2010-10-10,Sunday,13:00,WAS,GB,Home
2010,5,2010-10-10,Sunday,16:05,ARI,NO,Home
2010,5,2010-10-10,Sunday,16:15,DAL,TEN,Home
2010,5,2010-10-10,Sunday,16:15,OAK,SD,Home
2010,5,2010-10-10,Sunday,20:20,SF,PHI,Home
2010,5,2010-10-11,Monday,21:15,NYJ,MIN,Home
2010,6,2010-10-17,Sunday,13:00,CHI,SEA,Home
2010,6,2010-10-17,Sunday,13:00,GB,MIA,Home
2010,6,2010-10-17,Sunday,13:00,HOU,KC,Home
2010,6,2010-10-17,Sunday,13:00,NE,BAL,Home
2010,6,2010-10-17,Sunday,13:00,NYG,DET,Home
2010,6,2010-10-17,Sunday,13:00,PHI,ATL,Home
2010,6,2010-10-17,Sunday,13:00,PIT,CLE,Home
2010,6,2010-10-17,Sunday,13:00,STL,SD,Home
2010,6,2010-10-17,Sunday,13:00,TB,NO,Home
2010,6,2010-10-17,Sunday,16:05,DEN,NYJ,Home
2010,6,2010-10-17,Sunday,16:05,SF,OAK,Home
2010,6,2010-10-17,Sunday,16:15,MIN,DAL,Home
2010,6,2010-10-17,Sunday,20:20,WAS,IND,Home
2010,6,2010-10-18,Monday,20:30,JAX,TEN,Home
2010,7,2010-10-24,Sunday,13:00,ATL,CIN,Home
2010,7,2010-10-24,Sunday,13:00,BAL,BUF,Home
2010,7,2010-10-24,Sunday,13:00,CAR,SF,Home
2010,7,2010-10-24,Sunday,13:00,CHI,WAS,Home
2010,7,2010-10-24,Sunday,13:00,KC,JAX,Home
2010,7,2010-10-24,Sunday,13:00,MIA,PIT,Home
2010,7,2010-10-24,Sunday,13:00,NO,CLE,Home
2010,7,2010-10-24,Sunday,13:00,TB,STL,Home
2010,7,2010-10-24,Sunday,13:00,TEN,PHI,Home
2010,7,2010-10-24,Sunday,16:05,SEA,ARI,Home
2010,7,2010-10-24,Sunday,16:15,DEN,OAK,Home
2010,7,2010-10-24,Sunday,16:15,SD,NE,Home
2010,7,2010-10-24,Sunday,20:20,GB,MIN,Home
2010,7,2010-10-25,Monday,20:30,DAL,NYG,Home
2010,8,2010-10-31,Sunday,13:00,CIN,MIA,Home
2010,8,2010-10-31,Sunday,13:00,DAL,JAX,Home
2010,8,2010-10-31,Sunday,13:00,DET,WAS,Home
2010,8,2010-10-31,Sunday,13:00,KC,BUF,Home
2010,8,2010-10-31,Sunday,13:00,NYJ,GB,Home
2010,8,2010-10-31,Sunday,13:00,SF,DEN,Neutral
2010,8,2010-10-31,Sunday,13:00,STL,CAR,Home
2010,8,2010-10-31,Sunday,16:05,SD,TEN,Home
2010,8,2010-10-31,Sunday,16:15,ARI,TB,Home
2010,8,2010-10-31,Sunday,16:15,NE,MIN,Home
2010,8,2010-10-31,Sunday,16:15,OAK,SEA,Home
2010,8,2010-10-31,Sunday,20:20,NO,PIT,Home
2010,8,2010-11-01,Monday,20:30,IND,HOU,Home
2010,9,2010-11-07,Sunday,13:00,ATL,TB,Home
2010,9,2010-11-07,Sunday,13:00,BAL,MIA,Home
2010,9,2010-11-07,Sunday,13:00,BUF,CHI,Home
2010,9,2010-11-07,Sunday,13:00,CAR,NO,Home
2010,9,2010-11-07,Sunday,13:00,CLE,NE,Home
2010,9,2010-11-07,Sunday,13:00,DET,NYJ,Home
2010,9,2010-11-07,Sunday,13:00,HOU,SD,Home
2010,9,2010-11-07,Sunday,13:00,MIN,ARI,Home
2010,9,2010-11-07,Sunday,16:05,SEA,NYG,Home
2010,9,2010-11-07,Sunday,16:15,OAK,KC,Home
2010,9,2010-11-07,Sunday,16:15,PHI,IND,Home
2010,9,2010-11-07,Sunday,20:20,GB,DAL,Home
2010,9,2010-11-08,Monday,20:30,CIN,PIT,Home
2010,10,2010-11-11,Thursday,20:20,ATL,BAL,Home
2010,10,2010-11-14,Sunday,13:00,BUF,DET,Home
2010,10,2010-11-14,Sunday,13:00,CHI,MIN,Home
2010,10,2010-11-14,Sunday,13:00,CLE,NYJ,Home
2010,10,2010-11-14,Sunday,13:00,IND,CIN,Home
2010,10,2010-11-14,Sunday,13:00,JAX,HOU,Home
2010,10,2010-11-14,Sunday,13:00,MIA,TEN,Home
2010,10,2010-11-14,Sunday,13:00,TB,CAR,Home
2010,10,2010-11-14,Sunday,16:05,DEN,KC,Home
2010,10,2010-11-14,Sunday,16:15,ARI,SEA,Home
2010,10,2010-11-14,Sunday,16:15,NYG,DAL,Home
2010,10,2010-11-14,Sunday,16:15,SF,STL,Home
2010,10,2010-11-14,Sunday,20:20,PIT,NE,Home
2010,10,2010-11-15,Monday,20:30,WAS,PHI,Home
2010,11,2010-11-18,Thursday,20:20,MIA,CHI,Home
2010,11,2010-11-21,Sunday,13:00,CAR,BAL,Home
2010,11,2010-11-21,Sunday,13:00,CIN,BUF,Home
2010,11,2010-11-21,Sunday,13:00,DAL,DET,Home
2010,11,2010-11-21,Sunday,13:00,JAX,CLE,Home
2010,11,2010-11-21,Sunday,13:00,KC,ARI,Home
2010,11,2010-11-21,Sunday,13:00,MIN,GB,Home
2010,11,2010-11-21,Sunday,13:00,NYJ,HOU,Home
2010,11,2010-11-21,Sunday,13:00,PIT,OAK,Home
2010,11,2010-11-21,Sunday,13:00,TEN,WAS,Home
2010,11,2010-11-21,Sunday,16:05,NO,SEA,Home
2010,11,2010-11-21,Sunday,16:05,SF,TB,Home
2010,11,2010-11-21,Sunday,16:05,STL,ATL,Home
2010,11,2010-11-21,Sunday,16:15,NE,IND,Home
2010,11,2010-11-21,Sunday,20:20,PHI,NYG,Home
2010,11,2010-11-22,Monday,20:30,SD,DEN,Home
2010,12,2010-11-25,Thursday,12:30,DET,NE,Home
2010,12,2010-11-25,Thursday,16:15,DAL,NO,Home
2010,12,2010-11-25,Thursday,20:20,NYJ,CIN,Home
2010,12,2010-11-28,Sunday,13:00,ATL,GB,Home
2010,12,2010-11-28,Sunday,13:00,BUF,PIT,Home
2010,12,2010-11-28,Sunday,13:00,CLE,CAR,Home
2010,12,2010-11-28,Sunday,13:00,HOU,TEN,Home
2010,12,2010-11-28,Sunday,13:00,NYG,JAX,Home
2010,12,2010-11-28,Sunday,13:00,WAS,MIN,Home
2010,12,2010-11-28,Sunday,16:05,OAK,MIA,Home
2010,12,2010-11-28,Sunday,16:05,SEA,KC,Home
2010,12,2010-11-28,Sunday,16:15,BAL,TB,Home
2010,12,2010-11-28,Sunday,16:15,CHI,PHI,Home
2010,12,2010-11-28,Sunday,16:15,DEN,STL,Home
2010,12,2010-11-28,Sunday,20:20,IND,SD,Home
2010,12,2010-11-29,Monday,20:30,ARI,SF,Home
2010,13,2010-12-02,Thursday,20:20,PHI,HOU,Home
2010,13,2010-12-05,Sunday,13:00,CIN,NO,Home
2010,13,2010-12-05,Sunday,13:00,DET,CHI,Home
2010,13,2010-12-05,Sunday,13:00,GB,SF,Home
2010,13,2010-12-05,Sunday,13:00,KC,DEN,Home
2010,13,2010-12-05,Sunday,13:00,MIA,CLE,Home
2010,13,2010-12-05,Sunday,13:00,MIN,BUF,Home
2010,13,2010-12-05,Sunday,13:00,NYG,WAS,Home
2010,13,2010-12-05,Sunday,13:00,TEN,JAX,Home
2010,13,2010-12-05,Sunday,16:05,SD,OAK,Home
2010,13,2010-12-05,Sunday,16:15,ARI,STL,Home
2010,13,2010-12-05,Sunday,16:15,IND,DAL,Home
2010,13,2010-12-05,Sunday,16:15,SEA,CAR,Home
2010,13,2010-12-05,Sunday,16:15,TB,ATL,Home
2010,13,2010-12-05,Sunday,20:20,BAL,PIT,Home
2010,13,2010-12-06,Monday,20:30,NE,NYJ,Home
2010,14,2010-12-09,Thursday,20:20,TEN,IND,Home
2010,14,2010-12-12,Sunday,13:00,BUF,CLE,Home
2010,14,2010-12-12,Sunday,13:00,CAR,ATL,Home
2010,14,2010-12-12,Sunday,13:00,DET,GB,Home
2010,14,2010-12-12,Sunday,13:00,JAX,OAK,Home
2010,14,2010-12-12,Sunday,13:00,PIT,CIN,Home
2010,14,2010-12-12,Sunday,13:00,WAS,TB,Home
2010,14,2010-12-12,Sunday,16:05,NO,STL,Home
2010,14,2010-12-12,Sunday,16:05,SF,SEA,Home
2010,14,2010-12-12,Sunday,16:15,ARI,DEN,Home
2010,14,2010-12-12,Sunday,16:15,CHI,NE,Home
2010,14,2010-12-12,Sunday,16:15,NYJ,MIA,Home
2010,14,2010-12-12,Sunday,16:15,SD,KC,Home
2010,14,2010-12-12,Sunday,20:20,DAL,PHI,Home
2010,14,2010-12-13,Monday,19:20,MIN,NYG,Neutral
2010,14,2010-12-13,Monday,20:30,HOU,BAL,Home
2010,15,2010-12-16,Thursday,20:20,SD,SF,Home
2010,15,2010-12-19,Sunday,13:00,BAL,NO,Home
2010,15,2010-12-19,Sunday,13:00,CAR,ARI,Home
2010,15,2010-12-19,Sunday,13:00,CIN,CLE,Home
2010,15,2010-12-19,Sunday,13:00,DAL,WAS,Home
2010,15,2010-12-19,Sunday,13:00,IND,JAX,Home
2010,15,2010-12-19,Sunday,13:00,MIA,BUF,Home
2010,15,2010-12-19,Sunday,13:00,NYG,PHI,Home
2010,15,2010-12-19,Sunday,13:00,STL,KC,Home
2010,15,2010-12-19,Sunday,13:00,TB,DET,Home
2010,15,2010-12-19,Sunday,13:00,TEN,HOU,Home
2010,15,2010-12-19,Sunday,16:05,SEA,ATL,Home
2010,15,2010-12-19,Sunday,16:15,OAK,DEN,Home
2010,15,2010-12-19,Sunday,16:15,PIT,NYJ,Home
2010,15,2010-12-19,Sunday,20:20,NE,GB,Home
2010,15,2010-12-20,Monday,20:30,MIN,CHI,Home
2010,16,2010-12-23,Thursday,20:20,PIT,CAR,Home
2010,16,2010-12-25,Saturday,19:30,ARI,DAL,Home
2010,16,2010-12-26,Sunday,13:00,BUF,NE,Home
2010,16,2010-12-26,Sunday,13:00,CHI,NYJ,Home
2010,16,2010-12-26,Sunday,13:00,CLE,BAL,Home
2010,16,2010-12-26,Sunday,13:00,JAX,WAS,Home
2010,16,2010-12-26,Sunday,13:00,KC,TEN,Home
2010,16,2010-12-26,Sunday,13:00,MIA,DET,Home
2010,16,2010-12-26,Sunday,13:00,STL,SF,Home
2010,16,2010-12-26,Sunday,16:05,CIN,SD,Home
2010,16,2010-12-26,Sunday,16:05,DEN,HOU,Home
2010,16,2010-12-26,Sunday,16:05,OAK,IND,Home
2010,16,2010-12-26,Sunday,16:15,GB,NYG,Home
2010,16,2010-12-26,Sunday,16:15,TB,SEA,Home
2010,16,2010-12-27,Monday,20:30,ATL,NO,Home
2010,16,2010-12-28,Tuesday,20:00,PHI,MIN,Home
2010,17,2011-01-02,Sunday,13:00,ATL,CAR,Home
2010,17,2011-01-02,Sunday,13:00,BAL,CIN,Home
2010,17,2011-01-02,Sunday,13:00,CLE,PIT,Home
2010,17,2011-01-02,Sunday,13:00,DET,MIN,Home
2010,17,2011-01-02,Sunday,13:00,KC,OAK,Home
2010,17,2011-01-02,Sunday,13:00,NE,MIA,Home
2010,17,2011-01-02,Sunday,13:00,NO,TB,Home
2010,17,2011-01-02,Sunday,13:00,NYJ,BUF,Home
2010,17,2011-01-02,Sunday,16:15,DEN,SD,Home
2010,17,2011-01-02,Sunday,16:15,GB,CHI,Home
2010,17,2011-01-02,Sunday,16:15,HOU,JAX,Home
2010,17,2011-01-02,Sunday,16:15,IND,TEN,Home
2010,17,2011-01-02,Sunday,16:15,PHI,DAL,Home
2010,17,2011-01-02,Sunday,16:15,SF,ARI,Home
2010,17,2011-01-02,Sunday,16:15,WAS,NYG,Home
2010,17,2011-01-02,Sunday,20:20,SEA,STL,Home
2010,18,2011-01-08,Saturday,16:30,SEA,NO,Home
2010,18,2011-01-08,Saturday,20:00,IND,NYJ,Home
2010,18,2011-01-09,Sunday,13:00,KC,BAL,Home
2010,18,2011-01-09,Sunday,16:30,PHI,GB,Home
2010,19,2011-01-15,Saturday,16:30,PIT,BAL,Home
2010,19,2011-01-15,Saturday,20:00,ATL,GB,Home
2010,19,2011-01-16,Sunday,13:00,CHI,SEA,Home
2010,19,2011-01-16,Sunday,16:30,NE,NYJ,Home
2010,20,2011-01-23,Sunday,15:00,CHI,GB,Home
2010,20,2011-01-23,Sunday,18:30,PIT,NYJ,Home
2010,21,2011-02-06,Sunday,18:30,GB,PIT,Neutral
2011,1,2011-09-08,Thursday,20:30,GB,NO,Home
2011,1,2011-09-11,Sunday,13:00,BAL,PIT,Home
2011,1,2011-09-11,Sunday,13:00,CHI,ATL,Home
2011,1,2011-09-11,Sunday,13:00,CLE,CIN,Home
2011,1,2011-09-11,Sunday,13:00,HOU,IND,Home
2011,1,2011-09-11,Sunday,13:00,JAX,TEN,Home
2011,1,2011-09-11,Sunday,13:00,KC,BUF,Home
2011,1,2011-09-11,Sunday,13:00,STL,PHI,Home
2011,1,2011-09-11,Sunday,13:00,TB,DET,Home
2011,1,2011-09-11,Sunday,16:15,ARI,CAR,Home
2011,1,2011-09-11,Sunday,16:15,SD,MIN,Home
2011,1,2011-09-11,Sunday,16:25,SF,SEA,Home
2011,1,2011-09-11,Sunday,16:25,WAS,NYG,Home
2011,1,2011-09-11,Sunday,20:20,NYJ,DAL,Home
2011,1,2011-09-12,Monday,19:00,MIA,NE,Home
2011,1,2011-09-12,Monday,22:15,DEN,OAK,Home
2011,2,2011-09-18,Sunday,13:00,BUF,OAK,Home
2011,2,2011-09-18,Sunday,13:00,CAR,GB,Home
2011,2,2011-09-18,Sunday,13:00,DET,KC,Home
2011,2,2011-09-18,Sunday,13:00,IND,CLE,Home
2011,2,2011-09-18,Sunday,13:00,MIN,TB,Home
2011,2,2011-09-18,Sunday,13:00,NO,CHI,Home
2011,2,2011-09-18,Sunday,13:00,NYJ,JAX,Home
2011,2,2011-09-18,Sunday,13:00,PIT,SEA,Home
2011,2,2011-09-18,Sunday,13:00,TEN,BAL,Home
2011,2,2011-09-18,Sunday,13:00,WAS,ARI,Home
2011,2,2011-09-18,Sunday,16:05,SF,DAL,Home
2011,2,2011-09-18,Sunday,16:15,DEN,CIN,Home
2011,2,2011-09-18,Sunday,16:15,MIA,HOU,Home
2011,2,2011-09-18,Sunday,16:15,NE,SD,Home
2011,2,2011-09-18,Sunday,20:20,ATL,PHI,Home
2011,2,2011-09-19,Monday,20:30,NYG,STL,Home
2011,3,2011-09-25,Sunday,13:00,BUF,NE,Home
2011,3,2011-09-25,Sunday,13:00,CAR,JAX,Home
